Phage,Host,Time,N,OD600,sd,se,ci
øEnA02,CPO448,19.4877777777778,2,1.341,0.1258650070512054,0.08899999999999995,1.1308522215195471
øEnA02,CPO448,19.7377777777778,2,1.343,0.13010764773832487,0.09200000000000008,1.1689708357280728
øEnA02,CPO448,19.9877777777778,2,1.347,0.13576450198781725,0.09600000000000009,1.2197956546727715
øEnA02,CPO448,20.2377777777778,2,1.3519999999999999,0.14142135623730948,0.09999999999999998,1.2706204736174689
øEnA02,CPO448,20.4877777777778,2,1.3565,0.14919953083036158,0.10550000000000002,1.3405045996664304
øEnA02,CPO448,20.7377777777778,2,1.361,0.1555634918610406,0.1100000000000001,1.3976825209792174
øEnA02,CPO448,20.9877777777778,2,1.3675000000000002,0.16334166645409254,0.11550000000000003,1.4675666470281774
øEnA02,CPO448,21.2377777777778,2,1.3744999999999998,0.17182694782833113,0.12150000000000005,1.5438038754452257
øEnA02,CPO448,21.4877777777778,2,1.3824999999999998,0.1803122292025697,0.12750000000000006,1.620041103862274
øEnA02,CPO448,21.7377777777778,2,1.391,0.18809040379562167,0.133,1.6899252299112342
øEnA02,CPO448,21.9877777777778,2,1.3955,0.19021172413918136,0.13450000000000004,1.7089845370154966
øEnA02,CPO448,22.2377777777778,2,1.4,0.19233304448274094,0.136,1.7280438441197583
øEnA02,CPO448,22.4877777777778,2,1.403,0.19091883092036785,0.135,1.7153376393835835
øEnA02,CPO448,22.7377777777778,2,1.407,0.19091883092036785,0.135,1.7153376393835835
øEnA02,CPO448,22.9877777777778,2,1.4100000000000001,0.18950461735799476,0.134,1.702631434647409
øEnA02,CPO448,23.2377777777778,2,NA,NA,NA,NA
øEnA02,CPO448,23.4877777777778,2,NA,NA,NA,NA
øEnA02,CPO448,23.7377777777778,2,NA,NA,NA,NA
øEnA02,CPO448,23.9877777777778,2,NA,NA,NA,NA
øEnA02,CPO448,NA,2,NA,NA,NA,NA
øEnA02,EA,0.237777777777778,4,0.23625000000000002,0.008261355820929146,0.004130677910464573,0.013145660654475005
øEnA02,EA,0.487777777777778,4,0.2635,0.00785281265959317,0.003926406329796585,0.012495577317303707
øEnA02,EA,0.737777777777778,4,0.29025,0.009105858919765165,0.004552929459882582,0.014489453537820671
øEnA02,EA,0.987777777777778,4,0.3095,0.011030261405182875,0.005515130702591437,0.01755160732761886
øEnA02,EA,1.23777777777778,4,0.301,0.01570562531918634,0.00785281265959317,0.024991154634607413
øEnA02,EA,1.48777777777778,4,0.30074999999999996,0.016276260831857764,0.008138130415928882,0.025899163074089834
øEnA02,EA,1.73777777777778,4,0.29474999999999996,0.015413738460650413,0.007706869230325207,0.024526697507353146
øEnA02,EA,1.98777777777778,4,0.28200000000000003,0.007348469228349511,0.0036742346141747555,0.011693054372625961
øEnA02,EA,2.23777777777778,4,0.26825,0.009287087810503364,0.004643543905251682,0.014777829144690894
øEnA02,EA,2.48777777777778,4,0.2605,0.018430047929038774,0.009215023964519387,0.02932631896898555
øEnA02,EA,2.73777777777778,4,0.24675,0.02045116133621757,0.010225580668108785,0.03254236141660331
øEnA02,EA,2.98777777777778,4,0.233,0.02472515588087027,0.012362577940435136,0.03934324049031967
øEnA02,EA,3.23777777777778,4,0.22275,0.027548442182211814,0.013774221091105907,0.04383571901955092
øEnA02,EA,3.48777777777778,4,0.21775,0.031721443851123805,0.015860721925561903,0.050475895891136775
øEnA02,EA,3.73777777777778,4,0.2155,0.029949958263743876,0.014974979131871938,0.047657067009926474
øEnA02,EA,3.98777777777778,4,0.2115,0.022007574453658748,0.011003787226829374,0.0350189620041512
øEnA02,EA,4.23777777777778,4,0.20900000000000002,0.013216151734399339,0.006608075867199669,0.02102984662860402
øEnA02,EA,4.48777777777778,4,0.20700000000000002,0.006976149845485441,0.0034880749227427206,0.011100611150435325
øEnA02,EA,4.73777777777778,4,0.2075,0.004725815626252613,0.0023629078131263063,0.00751982723960982
øEnA02,EA,4.98777777777778,4,0.20925,0.008341662504161466,0.004170831252080733,0.01327344650814615
øEnA02,EA,5.23777777777778,4,0.21075,0.01312440474840669,0.006562202374203345,0.020883856700307412
øEnA02,EA,5.48777777777778,4,0.21225,0.01687947471536559,0.008439737357682796,0.026859010971522497
øEnA02,EA,5.73777777777778,4,0.21225,0.020613506898794935,0.010306753449397467,0.03280068943450508
øEnA02,EA,5.98777777777778,4,0.20825,0.024102212899787163,0.012051106449893581,0.03835199919604449
