phage,combination,time,N,OD600,sd,se,ci
APO57,EnC07_R3,16.4877777777778,6,1.5231666666666666,0.009662642840686306,0.00394475742107307,0.010140321772601983
APO57,EnC07_R3,16.7377777777778,6,1.5231666666666666,0.009495613022162706,0.003876567783204321,0.00996503472811796
APO57,EnC07_R3,16.9877777777778,6,1.5236666666666667,0.009542885657214291,0.0038958667556498526,0.010014644316132889
APO57,EnC07_R3,17.2377777777778,6,1.5233333333333332,0.009521904571390427,0.0038873012632301847,0.00999262601690561
APO57,EnC07_R3,17.4877777777778,6,1.5231666666666666,0.009304120950775895,0.003798391472423271,0.009764076123647132
APO57,EnC07_R3,17.7377777777778,6,1.523,0.009295160030897785,0.003794733192202049,0.009754672214960793
APO57,EnC07_R3,17.9877777777778,6,1.5225,0.00939680796866682,0.003836230789025435,0.009861345183577548
APO57,EnC07_R3,18.2377777777778,6,1.5226666666666666,0.008936815241833432,0.0036484395446698937,0.009378612421945652
APO57,EnC07_R3,18.4877777777778,6,1.522,0.00901110426085509,0.003678767909685723,0.009456573966159891
APO57,EnC07_R3,18.7377777777778,6,1.5216666666666667,0.008500980335624042,0.003470510689285432,0.008921231738258794
APO57,EnC07_R3,18.9877777777778,6,1.5213333333333332,0.008406346808612287,0.003431876713662317,0.0088219199422836
APO57,EnC07_R3,19.2377777777778,6,1.521,0.00869482604771367,0.003549647869859773,0.009124660337166666
APO57,EnC07_R3,19.4877777777778,6,1.5208333333333333,0.008518607084885834,0.0034777067795379937,0.00893972987714963
APO57,EnC07_R3,19.7377777777778,6,1.5201666666666667,0.008010409893798613,0.0032702361450580985,0.008406409632727669
APO57,EnC07_R3,19.9877777777778,6,1.5203333333333333,0.00814043405886117,0.0033233182881638786,0.008542861625592035
APO57,EnC07_R3,20.2377777777778,6,1.5198333333333334,0.008518607084885796,0.003477706779537978,0.00893972987714959
APO57,EnC07_R3,20.4877777777778,6,1.5193333333333332,0.00826236447190913,0.0033730961708462607,0.008670819746631801
APO57,EnC07_R3,20.7377777777778,6,1.5193333333333332,0.00826236447190913,0.0033730961708462607,0.008670819746631801
APO57,EnC07_R3,20.9877777777778,6,1.5186666666666666,0.007941452428030188,0.0032420843775434185,0.008334043210513377
APO57,EnC07_R3,21.2377777777778,6,1.5183333333333333,0.00814043405886117,0.0033233182881638786,0.008542861625592035
APO57,EnC07_R3,21.4877777777778,6,1.5178333333333334,0.007985403350280274,0.0032600272664163265,0.008380166874728914
APO57,EnC07_R3,21.7377777777778,6,1.5175,0.007816648898345156,0.0031911335499056484,0.008203069938477088
